,X,y,data_index
0,[227.  98. 444.  87.  39.  78.],259.0,[  0 923]
1,[259. 227. 436.  19.  87.  39.],237.0,[  0 924]
2,[237. 259. 449.  95.  19.  87.],257.0,[  0 925]
3,[257. 237. 439.  66.  95.  19.],229.0,[  0 926]
4,[229. 257. 365.  29.  66.  95.],204.0,[  0 927]
5,[204. 229. 316.  56.  29.  66.],200.0,[  0 928]
6,[200. 204. 329.  17.  56.  29.],174.0,[  0 929]
7,[174. 200. 354.  39.  17.  56.],149.0,[  0 930]
8,[149. 174. 340.  71.  39.  17.],155.0,[  0 931]
9,[155. 149. 313.  29.  71.  39.],164.0,[  0 932]
10,[164. 155. 297.  50.  29.  71.],157.0,[  0 933]
11,[157. 164. 284.  34.  50.  29.],124.0,[  0 934]
12,[124. 157. 297.  59.  34.  50.],150.0,[  0 935]
13,[150. 124. 274.  46.  59.  34.],130.0,[  0 936]
14,[130. 150. 246.  47.  46.  59.],118.0,[  0 937]
15,[118. 130. 282.  16.  47.  46.],129.0,[  0 938]
16,[129. 118. 246.  58.  16.  47.],146.0,[  0 939]
17,[146. 129. 288.  18.  58.  16.],152.0,[  0 940]
18,[152. 146. 288.  61.  18.  58.],137.0,[  0 941]
19,[137. 152. 281.  19.  61.  18.],153.0,[  0 942]
20,[153. 137. 279.  53.  19.  61.],136.0,[  0 943]
21,[136. 153. 299.  39.  53.  19.],166.0,[  0 944]
22,[166. 136. 264.  34.  39.  53.],147.0,[  0 945]
23,[147. 166. 258.  32.  34.  39.],124.0,[  0 946]
24,[124. 147. 277.  45.  32.  34.],106.0,[  0 947]
25,[106. 124. 275.  44.  45.  32.],139.0,[  0 948]
26,[139. 106. 274.  49.  44.  45.],121.0,[  0 949]
27,[121. 139. 258.  44.  49.  44.],146.0,[  0 950]
28,[146. 121. 298.  16.  44.  49.],130.0,[  0 951]
29,[130. 146. 333.  84.  16.  44.],151.0,[  0 952]
30,[136. 178. 278.  68.  33. 106.],143.0,[  0 956]
31,[143. 136. 320.   9.  68.  33.],141.0,[  0 957]
32,[141. 143. 299.  54.   9.  68.],119.0,[  0 958]
33,[146. 142. 338.  84.  57.  84.],142.0,[  0 962]
34,[142. 146. 349.  68.  84.  57.],160.0,[  0 963]
35,[160. 142. 380.  38.  68.  84.],179.0,[  0 964]
36,[179. 160. 349.  44.  38.  68.],177.0,[  0 965]
37,[177. 179. 359.  87.  44.  38.],158.0,[  0 966]
38,[158. 177. 358.  19.  87.  44.],163.0,[  0 967]
39,[ 70.  42. 208.  55.  19.  30.],89.0,[  1 923]
40,[ 89.  70. 224.   9.  55.  19.],132.0,[  1 924]
41,[132.  89. 247.  57.   9.  55.],104.0,[  1 925]
42,[104. 132. 239.  47.  57.   9.],117.0,[  1 926]
43,[117. 104. 260.  28.  47.  57.],121.0,[  1 927]
44,[121. 117. 257.  57.  28.  47.],111.0,[  1 928]
45,[111. 121. 288.   8.  57.  28.],130.0,[  1 929]
46,[130. 111. 253.  42.   8.  57.],103.0,[  1 930]
47,[103. 130. 244.  47.  42.   8.],105.0,[  1 931]
48,[105. 103. 255.  25.  47.  42.],114.0,[  1 932]
49,[114. 105. 190.  33.  25.  47.],121.0,[  1 933]
50,[121. 114. 207.  33.  33.  25.],122.0,[  1 934]
51,[122. 121. 223.  42.  33.  33.],112.0,[  1 935]
52,[112. 122. 240.  29.  42.  33.],106.0,[  1 936]
53,[106. 112. 177.  41.  29.  42.],109.0,[  1 937]
54,[109. 106. 239.   7.  41.  29.],103.0,[  1 938]
55,[103. 109. 247.  49.   7.  41.],110.0,[  1 939]
56,[110. 103. 245.  20.  49.   7.],105.0,[  1 940]
57,[105. 110. 247.  57.  20.  49.],104.0,[  1 941]
58,[104. 105. 229.  23.  57.  20.],118.0,[  1 942]
59,[118. 104. 193.  36.  23.  57.],149.0,[  1 943]
60,[149. 118. 255.  46.  36.  23.],157.0,[  1 944]
61,[157. 149. 228.  43.  46.  36.],129.0,[  1 945]
62,[129. 157. 225.  31.  43.  46.],112.0,[  1 946]
63,[112. 129. 283.  40.  31.  43.],115.0,[  1 947]
64,[115. 112. 266.  34.  40.  31.],150.0,[  1 948]
65,[150. 115. 256.  42.  34.  40.],133.0,[  1 949]
66,[133. 150. 259.  32.  42.  34.],140.0,[  1 950]
67,[140. 133. 251.  26.  32.  42.],123.0,[  1 951]
68,[123. 140. 276.  61.  26.  32.],139.0,[  1 952]
69,[108. 143. 243.  51.  18.  76.],106.0,[  1 956]
70,[106. 108. 227.   8.  51.  18.],116.0,[  1 957]
71,[116. 106. 230.  51.   8.  51.],116.0,[  1 958]
72,[135.  99. 309.  54.  43.  65.],116.0,[  1 962]
73,[116. 135. 322.  46.  54.  43.],137.0,[  1 963]
74,[137. 116. 340.  31.  46.  54.],149.0,[  1 964]
75,[149. 137. 374.  24.  31.  46.],165.0,[  1 965]
76,[165. 149. 383.  78.  24.  31.],174.0,[  1 966]
77,[174. 165. 412.  16.  78.  24.],159.0,[  1 967]
78,[47. 24. 61. 10.  6. 17.],44.0,[  2 923]
79,[44. 47. 84.  3. 10.  6.],33.0,[  2 924]
80,[33. 44. 73. 18.  3. 10.],33.0,[  2 925]
81,[33. 33. 63. 12. 18.  3.],15.0,[  2 926]
82,[15. 33. 33.  4. 12. 18.],32.0,[  2 927]
83,[32. 15. 31. 11.  4. 12.],22.0,[  2 928]
84,[22. 32. 44.  1. 11.  4.],12.0,[  2 929]
85,[12. 22. 38.  6.  1. 11.],22.0,[  2 930]
86,[22. 12. 26.  3.  6.  1.],24.0,[  2 931]
87,[24. 22. 38.  4.  3.  6.],17.0,[  2 932]
88,[17. 24. 41.  9.  4.  3.],37.0,[  2 933]
89,[37. 17. 44. 12.  9.  4.],22.0,[  2 934]
90,[22. 37. 38. 17. 12.  9.],28.0,[  2 935]
91,[28. 22. 35.  8. 17. 12.],18.0,[  2 936]
92,[18. 28. 41. 11.  8. 17.],39.0,[  2 937]
93,[39. 18. 54.  3. 11.  8.],34.0,[  2 938]
94,[34. 39. 46.  8.  3. 11.],37.0,[  2 939]
95,[43. 28. 75.  9.  6.  6.],49.0,[  2 943]
96,[49. 43. 74.  9.  9.  6.],41.0,[  2 944]
97,[41. 49. 48. 10.  9.  9.],42.0,[  2 945]
98,[42. 41. 64. 16. 10.  9.],62.0,[  2 946]
99,[62. 42. 89. 18. 16. 10.],69.0,[  2 947]
100,[ 69.  62. 134.   8.  18.  16.],80.0,[  2 948]
101,[ 80.  69. 140.  15.   8.  18.],61.0,[  2 949]
102,[ 61.  80. 124.  13.  15.   8.],86.0,[  2 950]
103,[86. 61. 91. 12. 13. 15.],55.0,[  2 951]
104,[ 55.  86. 104.  23.  12.  13.],83.0,[  2 952]
105,[63. 83. 83. 17. 15. 48.],42.0,[  2 956]
106,[ 42.  63. 131.   2.  17.  15.],94.0,[  2 957]
107,[ 94.  42. 132.  20.   2.  17.],89.0,[  2 958]
108,[ 87.  63. 151.  25.  27.  41.],86.0,[  2 962]
109,[ 86.  87. 117.  14.  25.  27.],71.0,[  2 963]
110,[71. 86. 96. 19. 14. 25.],69.0,[  2 964]
111,[ 69.  71. 122.  16.  19.  14.],57.0,[  2 965]
112,[ 57.  69. 125.  19.  16.  19.],79.0,[  2 966]
113,[ 79.  57. 100.   3.  19.  16.],76.0,[  2 967]
114,[ 77.  36. 205.  50.  12.  28.],100.0,[  3 923]
115,[100.  77. 194.   7.  50.  12.],104.0,[  3 924]
116,[104. 100. 233.  56.   7.  50.],120.0,[  3 925]
117,[120. 104. 241.  31.  56.   7.],107.0,[  3 926]
118,[107. 120. 235.  16.  31.  56.],98.0,[  3 927]
119,[ 98. 107. 264.  53.  16.  31.],121.0,[  3 928]
120,[121.  98. 256.   9.  53.  16.],120.0,[  3 929]
121,[120. 121. 273.  38.   9.  53.],112.0,[  3 930]
122,[112. 120. 272.  58.  38.   9.],119.0,[  3 931]
123,[119. 112. 284.  26.  58.  38.],121.0,[  3 932]
124,[121. 119. 272.  59.  26.  58.],122.0,[  3 933]
125,[122. 121. 277.  38.  59.  26.],101.0,[  3 934]
126,[101. 122. 279.  51.  38.  59.],126.0,[  3 935]
127,[126. 101. 286.  35.  51.  38.],134.0,[  3 936]
128,[134. 126. 280.  70.  35.  51.],140.0,[  3 937]
129,[140. 134. 267.  12.  70.  35.],144.0,[  3 938]
130,[144. 140. 268.  54.  12.  70.],146.0,[  3 939]
131,[146. 144. 346.  25.  54.  12.],164.0,[  3 940]
132,[164. 146. 346.  80.  25.  54.],139.0,[  3 941]
133,[139. 164. 330.  36.  80.  25.],164.0,[  3 942]
134,[164. 139. 316.  63.  36.  80.],207.0,[  3 943]
135,[207. 164. 304.  50.  63.  36.],197.0,[  3 944]
136,[197. 207. 300.  54.  50.  63.],186.0,[  3 945]
137,[186. 197. 305.  48.  54.  50.],157.0,[  3 946]
138,[157. 186. 327.  55.  48.  54.],161.0,[  3 947]
139,[161. 157. 361.  52.  55.  48.],194.0,[  3 948]
140,[194. 161. 341.  43.  52.  55.],179.0,[  3 949]
141,[179. 194. 293.  39.  43.  52.],173.0,[  3 950]
142,[173. 179. 309.  22.  39.  43.],154.0,[  3 951]
143,[154. 173. 313.  89.  22.  39.],142.0,[  3 952]
144,[145. 159. 272.  61.  27. 102.],146.0,[  3 956]
145,[146. 145. 278.  12.  61.  27.],126.0,[  3 957]
